user_id,visit_id,date,transactions,revenue,source,source_type
6002089299065068862,1493663214,20170501,1,67.18,(direct),Direct
9740050408987139130,1493647384,20170501,1,33.59,(direct),Direct
1058991778060723026,1493656599,20170501,1,100.77,(direct),Direct
1307179574652877975,1493647545,20170501,1,33.59,(direct),Direct
7215304408310414169,1493666594,20170501,1,33.59,(direct),Direct
9470918284099545159,1493660239,20170501,1,33.59,(direct),Direct
0090053188432158994,1493659003,20170501,1,33.59,(direct),Direct
7813149961404844386,1493670951,20170501,1,123.25,(direct),Direct
2562758545519501123,1493652346,20170501,1,33.59,(direct),Direct
515770511624914543,1493699819,20170501,1,44.22,(direct),Direct
2092692131178622106,1493679439,20170501,1,8.99,(direct),Direct
054873055567921661,1493665423,20170501,1,55.96,(direct),Direct
051204193313789401,1493647743,20170501,1,33.56,(direct),Direct
6730027102407598454,1493659551,20170501,1,71.96,(direct),Direct
2952820296567657347,1493671957,20170501,1,167.95,(direct),Direct
6571750739526542034,1493662661,20170501,1,74.98,(direct),Direct
179180640146798691,1493685233,20170501,1,262.7,(direct),Direct
9701069095310895981,1493685545,20170501,1,125.29,(direct),Direct
2348681849763325965,1493686535,20170501,1,278.06,(direct),Direct
7080810108082424102,1493680066,20170501,1,1.99,(direct),Direct
3104697128151646874,1476120191,20161010,1,279.5,(direct),Direct
1907885199880044523,1476134302,20161010,1,379.75,(direct),Direct
060208176042336566,1476153802,20161010,1,49.99,(direct),Direct
9419904291932489665,1476128091,20161010,1,378.7,(direct),Direct
8846420568137405552,1476130491,20161010,1,44.76,(direct),Direct
3548260170900367803,1480132892,20161125,1,18.99,(direct),Direct
3506641252508018377,1480094582,20161125,1,58.99,(direct),Direct
2402527199731150932,1480093266,20161125,1,143.4,(direct),Direct
0131875932724045086,1480111178,20161125,1,62.37,(direct),Direct
8693243630258269038,1480113377,20161125,1,29.99,(direct),Direct
1712593526957170290,1480130589,20161125,1,21.47,(direct),Direct
3283030329692495258,1490477313,20170325,1,35.98,(direct),Direct
8101107214208089371,1496330803,20170601,1,109.98,(direct),Direct
535271430252634961,1496363825,20170601,1,52.57,(direct),Direct
276483305236391136,1496344282,20170601,1,119.5,(direct),Direct
8641796138378982634,1496351621,20170601,1,100.0,(direct),Direct
9908993706216463889,1496331073,20170601,1,1.99,(direct),Direct
